Name, Team, Position, Height(inches), Weight(lbs), Senior
Adam Donachie, BAL, Catcher,74,180,0
Paul Bako, BAL, Catcher,74,215,1
Ramon Hernandez, BAL, Catcher,72,210,1
Kevin Millar, BAL, First Baseman,72,210,1
Chris Gomez, BAL, First Baseman,73,188,1
Brian Roberts, BAL, Second Baseman,69,176,0
Miguel Tejada, BAL, Shortstop,69,209,1
Melvin Mora, BAL, Third Baseman,71,200,1
Aubrey Huff, BAL, Third Baseman,76,231,1
Adam Stern, BAL, Outfielder,71,180,0
Jeff Fiorentino, BAL, Outfielder,73,188,0
Freddie Bynum, BAL, Outfielder,73,180,0
Nick Markakis, BAL, Outfielder,74,185,0
Brandon Fahey, BAL, Outfielder,74,160,0
Corey Patterson, BAL, Outfielder,69,180,0
Jay Payton, BAL, Outfielder,70,185,1
Jay Gibbons, BAL, Designated Hitter,72,197,1
Erik Bedard, BAL, Starting Pitcher,73,189,0
Hayden Penn, BAL, Starting Pitcher,75,185,0
Adam Loewen, BAL, Starting Pitcher,78,219,0
Daniel Cabrera, BAL, Starting Pitcher,79,230,0
Steve Trachsel, BAL, Starting Pitcher,76,205,1
Jaret Wright, BAL, Starting Pitcher,74,230,1
Kris Benson, BAL, Starting Pitcher,76,195,1
Scott Williamson, BAL, Relief Pitcher,72,180,1
John Parrish, BAL, Relief Pitcher,71,192,0
Danys Baez, BAL, Relief Pitcher,75,225,0
Chad Bradford, BAL, Relief Pitcher,77,203,1
Jamie Walker, BAL, Relief Pitcher,74,195,1
Brian Burres, BAL, Relief Pitcher,73,182,0
